date,Search Interest,Keyword,Category
2020-02-16,67.0,skinny jeans,Jeans
2020-02-23,66.0,skinny jeans,Jeans
2020-03-01,68.0,skinny jeans,Jeans
2020-03-08,59.0,skinny jeans,Jeans
2020-03-15,44.0,skinny jeans,Jeans
2020-03-22,41.0,skinny jeans,Jeans
2020-03-29,40.0,skinny jeans,Jeans
2020-04-05,44.0,skinny jeans,Jeans
2020-04-12,50.0,skinny jeans,Jeans
2020-04-19,46.0,skinny jeans,Jeans
2020-04-26,50.0,skinny jeans,Jeans
2020-05-03,48.0,skinny jeans,Jeans
2020-05-10,51.0,skinny jeans,Jeans
2020-05-17,56.99999999999999,skinny jeans,Jeans
2020-05-24,53.0,skinny jeans,Jeans
2020-05-31,49.0,skinny jeans,Jeans
2020-06-07,51.0,skinny jeans,Jeans
2020-06-14,54.0,skinny jeans,Jeans
2020-06-21,52.0,skinny jeans,Jeans
2020-06-28,51.0,skinny jeans,Jeans
2020-07-05,52.0,skinny jeans,Jeans
2020-07-12,55.00000000000001,skinny jeans,Jeans
2020-07-19,56.99999999999999,skinny jeans,Jeans
2020-07-26,59.0,skinny jeans,Jeans
2020-08-02,65.0,skinny jeans,Jeans
2020-08-09,56.00000000000001,skinny jeans,Jeans
2020-08-16,57.99999999999999,skinny jeans,Jeans
2020-08-23,51.0,skinny jeans,Jeans
2020-08-30,57.99999999999999,skinny jeans,Jeans
2020-09-06,56.99999999999999,skinny jeans,Jeans
2020-09-13,56.99999999999999,skinny jeans,Jeans
2020-09-20,63.0,skinny jeans,Jeans
2020-09-27,72.0,skinny jeans,Jeans
2020-10-04,67.0,skinny jeans,Jeans
2020-10-11,68.0,skinny jeans,Jeans
2020-10-18,70.0,skinny jeans,Jeans
2020-10-25,68.0,skinny jeans,Jeans
2020-11-01,56.00000000000001,skinny jeans,Jeans
2020-11-08,78.0,skinny jeans,Jeans
2020-11-15,63.0,skinny jeans,Jeans
2020-11-22,80.0,skinny jeans,Jeans
2020-11-29,73.0,skinny jeans,Jeans
2020-12-06,72.0,skinny jeans,Jeans
2020-12-13,72.0,skinny jeans,Jeans
2020-12-20,63.0,skinny jeans,Jeans
2020-12-27,84.0,skinny jeans,Jeans
2021-01-03,66.0,skinny jeans,Jeans
2021-01-10,68.0,skinny jeans,Jeans
2021-01-17,74.0,skinny jeans,Jeans
2021-01-24,74.0,skinny jeans,Jeans
2021-01-31,74.0,skinny jeans,Jeans
2021-02-07,100.0,skinny jeans,Jeans
2021-02-14,91.0,skinny jeans,Jeans
2021-02-21,90.0,skinny jeans,Jeans
2021-02-28,77.0,skinny jeans,Jeans
2021-03-07,71.0,skinny jeans,Jeans
2021-03-14,67.0,skinny jeans,Jeans
2021-03-21,68.0,skinny jeans,Jeans
2021-03-28,61.0,skinny jeans,Jeans
2021-04-04,74.0,skinny jeans,Jeans
2021-04-11,89.0,skinny jeans,Jeans
2021-04-18,78.0,skinny jeans,Jeans
2021-04-25,61.0,skinny jeans,Jeans
2021-05-02,63.0,skinny jeans,Jeans
2021-05-09,67.0,skinny jeans,Jeans
2021-05-16,56.00000000000001,skinny jeans,Jeans
2021-05-23,57.99999999999999,skinny jeans,Jeans
2021-05-30,56.99999999999999,skinny jeans,Jeans
2021-06-06,48.0,skinny jeans,Jeans
2021-06-13,48.0,skinny jeans,Jeans
2021-06-20,50.0,skinny jeans,Jeans
2021-06-27,49.0,skinny jeans,Jeans
2021-07-04,53.0,skinny jeans,Jeans
2021-07-11,56.00000000000001,skinny jeans,Jeans
2021-07-18,60.0,skinny jeans,Jeans
2021-07-25,64.0,skinny jeans,Jeans
2021-08-01,68.0,skinny jeans,Jeans
2021-08-08,61.0,skinny jeans,Jeans
2021-08-15,65.0,skinny jeans,Jeans
2021-08-22,59.0,skinny jeans,Jeans
2021-08-29,65.0,skinny jeans,Jeans
2021-09-05,62.0,skinny jeans,Jeans
2021-09-12,71.0,skinny jeans,Jeans
2021-09-19,69.0,skinny jeans,Jeans
2021-09-26,73.0,skinny jeans,Jeans
2021-10-03,74.0,skinny jeans,Jeans
2021-10-10,72.0,skinny jeans,Jeans
2021-10-17,73.0,skinny jeans,Jeans
2021-10-24,69.0,skinny jeans,Jeans
2021-10-31,66.0,skinny jeans,Jeans
2021-11-07,75.0,skinny jeans,Jeans
2021-11-14,75.0,skinny jeans,Jeans
2021-11-21,85.0,skinny jeans,Jeans
2021-11-28,72.0,skinny jeans,Jeans
2021-12-05,76.0,skinny jeans,Jeans
2021-12-12,75.0,skinny jeans,Jeans
2021-12-19,73.0,skinny jeans,Jeans
2021-12-26,71.0,skinny jeans,Jeans
2022-01-02,66.0,skinny jeans,Jeans
2022-01-09,63.0,skinny jeans,Jeans
2022-01-16,57.99999999999999,skinny jeans,Jeans
2022-01-23,59.0,skinny jeans,Jeans
2022-01-30,60.0,skinny jeans,Jeans
2022-02-06,62.0,skinny jeans,Jeans
2022-02-13,61.0,skinny jeans,Jeans
2022-02-20,67.0,skinny jeans,Jeans
2022-02-27,62.0,skinny jeans,Jeans
2022-03-06,61.0,skinny jeans,Jeans
2022-03-13,64.0,skinny jeans,Jeans
2022-03-20,59.0,skinny jeans,Jeans
2022-03-27,53.0,skinny jeans,Jeans
2022-04-03,53.0,skinny jeans,Jeans
2022-04-10,54.0,skinny jeans,Jeans
2022-04-17,55.00000000000001,skinny jeans,Jeans
2022-04-24,54.0,skinny jeans,Jeans
2022-05-01,52.0,skinny jeans,Jeans
2022-05-08,49.0,skinny jeans,Jeans
2022-05-15,46.0,skinny jeans,Jeans
2022-05-22,44.0,skinny jeans,Jeans
2022-05-29,42.0,skinny jeans,Jeans
2022-06-05,40.0,skinny jeans,Jeans
2022-06-12,40.0,skinny jeans,Jeans
2022-06-19,42.0,skinny jeans,Jeans
2022-06-26,41.0,skinny jeans,Jeans
2022-07-03,43.0,skinny jeans,Jeans
2022-07-10,46.0,skinny jeans,Jeans
2022-07-17,48.0,skinny jeans,Jeans
2022-07-24,47.0,skinny jeans,Jeans
2022-07-31,52.0,skinny jeans,Jeans
2022-08-07,56.00000000000001,skinny jeans,Jeans
2022-08-14,60.0,skinny jeans,Jeans
2022-08-21,55.00000000000001,skinny jeans,Jeans
2022-08-28,53.0,skinny jeans,Jeans
2022-09-04,53.0,skinny jeans,Jeans
2022-09-11,54.0,skinny jeans,Jeans
2022-09-18,55.00000000000001,skinny jeans,Jeans
2022-09-25,57.99999999999999,skinny jeans,Jeans
2022-10-02,55.00000000000001,skinny jeans,Jeans
2022-10-09,61.0,skinny jeans,Jeans
2022-10-16,61.0,skinny jeans,Jeans
2022-10-23,55.00000000000001,skinny jeans,Jeans
2022-10-30,55.00000000000001,skinny jeans,Jeans
2022-11-06,55.00000000000001,skinny jeans,Jeans
2022-11-13,60.0,skinny jeans,Jeans
2022-11-20,67.0,skinny jeans,Jeans
2022-11-27,64.0,skinny jeans,Jeans
2022-12-04,61.0,skinny jeans,Jeans
2022-12-11,60.0,skinny jeans,Jeans
2022-12-18,52.0,skinny jeans,Jeans
2022-12-25,59.0,skinny jeans,Jeans
2023-01-01,54.0,skinny jeans,Jeans
2023-01-08,56.99999999999999,skinny jeans,Jeans
2023-01-15,56.00000000000001,skinny jeans,Jeans
2023-01-22,50.0,skinny jeans,Jeans
2023-01-29,53.0,skinny jeans,Jeans
2023-02-05,51.0,skinny jeans,Jeans
2023-02-12,52.0,skinny jeans,Jeans
2023-02-19,54.0,skinny jeans,Jeans
2023-02-26,54.0,skinny jeans,Jeans
2023-03-05,55.00000000000001,skinny jeans,Jeans
2023-03-12,52.0,skinny jeans,Jeans
2023-03-19,52.0,skinny jeans,Jeans
2023-03-26,49.0,skinny jeans,Jeans
2023-04-02,49.0,skinny jeans,Jeans
2023-04-09,46.0,skinny jeans,Jeans
2023-04-16,43.0,skinny jeans,Jeans
2023-04-23,44.0,skinny jeans,Jeans
2023-04-30,43.0,skinny jeans,Jeans
2023-05-07,42.0,skinny jeans,Jeans
2023-05-14,41.0,skinny jeans,Jeans
2023-05-21,41.0,skinny jeans,Jeans
2023-05-28,39.0,skinny jeans,Jeans
2023-06-04,39.0,skinny jeans,Jeans
2023-06-11,40.0,skinny jeans,Jeans
2023-06-18,36.0,skinny jeans,Jeans
2023-06-25,39.0,skinny jeans,Jeans
2023-07-02,40.0,skinny jeans,Jeans
2023-07-09,44.0,skinny jeans,Jeans
2023-07-16,41.0,skinny jeans,Jeans
2023-07-23,45.0,skinny jeans,Jeans
2023-07-30,49.0,skinny jeans,Jeans
2023-08-06,48.0,skinny jeans,Jeans
2023-08-13,46.0,skinny jeans,Jeans
2023-08-20,48.0,skinny jeans,Jeans
2023-08-27,46.0,skinny jeans,Jeans
2023-09-03,49.0,skinny jeans,Jeans
2023-09-10,46.0,skinny jeans,Jeans
2023-09-17,51.0,skinny jeans,Jeans
2023-09-24,50.0,skinny jeans,Jeans
2023-10-01,50.0,skinny jeans,Jeans
2023-10-08,55.00000000000001,skinny jeans,Jeans
2023-10-15,56.00000000000001,skinny jeans,Jeans
2023-10-22,53.0,skinny jeans,Jeans
2023-10-29,51.0,skinny jeans,Jeans
2023-11-05,56.00000000000001,skinny jeans,Jeans
2023-11-12,53.0,skinny jeans,Jeans
2023-11-19,63.0,skinny jeans,Jeans
2023-11-26,55.00000000000001,skinny jeans,Jeans
2023-12-03,50.0,skinny jeans,Jeans
2023-12-10,52.0,skinny jeans,Jeans
2023-12-17,52.0,skinny jeans,Jeans
2023-12-24,57.99999999999999,skinny jeans,Jeans
2023-12-31,54.0,skinny jeans,Jeans
2024-01-07,49.0,skinny jeans,Jeans
2024-01-14,45.0,skinny jeans,Jeans
2024-01-21,49.0,skinny jeans,Jeans
2024-01-28,46.0,skinny jeans,Jeans
2024-02-04,43.0,skinny jeans,Jeans
2024-02-11,43.0,skinny jeans,Jeans
2024-02-18,49.0,skinny jeans,Jeans
2024-02-25,45.0,skinny jeans,Jeans
2024-03-03,45.0,skinny jeans,Jeans
2024-03-10,47.0,skinny jeans,Jeans
2024-03-17,46.0,skinny jeans,Jeans
2024-03-24,45.0,skinny jeans,Jeans
2024-03-31,41.0,skinny jeans,Jeans
2024-04-07,40.0,skinny jeans,Jeans
2024-04-14,40.0,skinny jeans,Jeans
2024-04-21,42.0,skinny jeans,Jeans
2024-04-28,37.0,skinny jeans,Jeans
2024-05-05,38.0,skinny jeans,Jeans
2024-05-12,38.0,skinny jeans,Jeans
2024-05-19,33.0,skinny jeans,Jeans
2024-05-26,33.0,skinny jeans,Jeans
2024-06-02,35.0,skinny jeans,Jeans
2024-06-09,34.0,skinny jeans,Jeans
2024-06-16,32.0,skinny jeans,Jeans
2024-06-23,36.0,skinny jeans,Jeans
2024-06-30,36.0,skinny jeans,Jeans
2024-07-07,33.0,skinny jeans,Jeans
2024-07-14,37.0,skinny jeans,Jeans
